from,to,relation,year
jo,sel,2,2021
ns,sel,2,2021
sc,sel,2,2021
ed,sel,2,2021
mf,sel,2,2021
mf,szw,2,2022
pm,szw,2,2022
rg,szw,2,2022
sk,szw,2,2022
btk,sdr,2,2023
gz,sdr,2,2023
rk,sdr,2,2023
shd,sdr,2,2023
tu,sze,1,2020
tu,mf,4,2020
tu,nih,5,2023
tu,frf,5,2021
mpk,sa,2,2018
yc,sa,2,2018
mf,sa,2,2018
fv,sa,2,2018
am,sn,2,2019
rg,sn,2,2019
ns,sn,2,2019
mf,sn,2,2019
sid,sn,2,2019
shrg,sze,2,2020
skyc,sze,2,2020
ns,sze,2,2020
ms,sze,2,2020
mf,sze,2,2020
nt,ssi,1,2017
bk,ssi,1,2017
anhe,ssi,1,2017
bbt,ssi,1,2017
sh,ssi,2,2017
yc,ssi,2,2017
fv,ssi,2,2017
mf,ssi,2,2017
nt,bk,3,2017
nt,anhe,3,2017
nt,bbt,3,2017
bk,anhe,3,2017
bk,bbt,3,2017
anhe,bbt,3,2017
sh,nt,4,2017
yc,bbt,4,2017
fv,anhe,4,2017
mf,bk,4,2017
anhe,star,1,2021
nt,uni,5,2018
nt,rj,5,2019
nt,escv,1,2018
nt,geor,2,2019
nt,maga,5,2018
nt,mr,5,2018
nt,bri,5,2018
nt,jao,5,2018
nt,ribe,5,2018
nt,log,5,2018
nt,pef,5,2019
nt,ib,5,2019
nt,vz,5,2019
nt,ez,5,2019
nt,hu,5,2019
nt,mapo,5,2021
nt,anka,5,2022
nt,irs,5,2022
nt,moa,5,2023
nt,ads,5,2023
nt,tij,5,2023
bbt,thev,1,2020
bbt,unse,1,2019
bbt,doit,5,2019
bbt,brow,5,2021
bbt,gold,5,2021
bbt,noxe,5,2021
bbt,musi,5,2021
bbt,ribe,5,2019
bbt,daw,5,2019
bbt,remi,5,2019
bbt,ant,5,2019
bbt,tsn,5,2019
bbt,thba,5,2019
bbt,remin,5,2020
bbt,jug,5,2021
bbt,chl,5,2021
bbt,dam,5,2021
bbt,gic,5,2021
bbt,rar,5,2021
bbt,chn,5,2021
bbt,rab ,5,2021
bbt,cab,5,2022
bbt,jet,5,2022
bbt,coo,5,2023
bbt,ajf,5,2023
bbt,jaic,5,2023
bbt,satu,5,2023
bbt,cht,5,2023
bbt,jcw,5,2024
bbt,fere,5,2024
bbt,mok,5,2024
bbt,adp,5,2024
mg,kls,5,2012
ms,kls,5,2012
iq,luc,5,2023
